I0224 01:03:58.134252   11295 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
W0224 01:06:13.476264   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:06:13.476288   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:06:13.476299   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 30} {39 41}}, error: invalid column number
W0224 01:06:13.476308   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 43} {39 48}}, error: invalid column number
W0224 01:06:13.476319   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:06:13.476328   11295 retention.go:173] Could not get offsets for range in document. range: &{{48 8} {48 43}}, error: invalid column number
W0224 01:06:13.476337   11295 retention.go:173] Could not get offsets for range in document. range: &{{55 10} {55 16}}, error: invalid column number
W0224 01:06:13.476346   11295 retention.go:173] Could not get offsets for range in document. range: &{{61 43} {61 50}}, error: invalid column number
W0224 01:06:13.476385   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:06:58.271793   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:10:41.082943   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:10:41.082991   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:10:41.083001   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 30} {39 41}}, error: invalid column number
W0224 01:10:41.083010   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 43} {39 48}}, error: invalid column number
W0224 01:10:41.083021   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:10:41.083032   11295 retention.go:173] Could not get offsets for range in document. range: &{{48 8} {48 43}}, error: invalid column number
W0224 01:10:41.083044   11295 retention.go:173] Could not get offsets for range in document. range: &{{55 10} {55 16}}, error: invalid column number
W0224 01:10:41.083053   11295 retention.go:173] Could not get offsets for range in document. range: &{{61 43} {61 50}}, error: invalid column number
E0224 01:10:41.086737   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:10:41.086776   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:10:41.086888   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:10:41.086916   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:10:41.086995   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:10:41.087151   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:10:41.087217   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0224 01:10:41.087259   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:10:41.087278   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:10:41.087291   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 40} {39 52}}, error: invalid column number
W0224 01:10:41.087300   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 54} {39 59}}, error: invalid column number
W0224 01:10:41.087309   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:10:41.087319   11295 retention.go:173] Could not get offsets for range in document. range: &{{65 10} {65 16}}, error: invalid column number
W0224 01:10:41.087327   11295 retention.go:173] Could not get offsets for range in document. range: &{{71 43} {71 50}}, error: invalid column number
I0224 01:10:58.271777   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:12:00.948054   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:12:00.948104   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:12:00.948118   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 40} {39 52}}, error: invalid column number
W0224 01:12:00.948129   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 54} {39 59}}, error: invalid column number
W0224 01:12:00.948140   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:12:00.948152   11295 retention.go:173] Could not get offsets for range in document. range: &{{65 10} {65 16}}, error: invalid column number
W0224 01:12:00.948162   11295 retention.go:173] Could not get offsets for range in document. range: &{{71 43} {71 50}}, error: invalid column number
E0224 01:12:00.948498   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:12:00.948533   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:12:00.948678   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:12:00.948737   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:12:00.948839   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:12:00.949006   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:12:00.949059   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0224 01:12:00.949120   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:12:00.949136   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:12:00.949147   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 40} {39 52}}, error: invalid column number
W0224 01:12:00.949157   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 54} {39 59}}, error: invalid column number
W0224 01:12:00.949167   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:12:00.949179   11295 retention.go:173] Could not get offsets for range in document. range: &{{65 10} {65 16}}, error: invalid column number
W0224 01:12:00.949189   11295 retention.go:173] Could not get offsets for range in document. range: &{{71 43} {71 50}}, error: invalid column number
I0224 01:12:58.272388   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
I0224 01:13:58.272512   11295 life_cycle.go:261] codeReportBasicEvery: recomputing codereportbasic metric
W0224 01:19:37.121351   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:19:37.121397   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:19:37.121412   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 40} {39 52}}, error: invalid column number
W0224 01:19:37.121424   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 54} {39 59}}, error: invalid column number
W0224 01:19:37.121432   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:19:37.121442   11295 retention.go:173] Could not get offsets for range in document. range: &{{65 10} {65 16}}, error: invalid column number
W0224 01:19:37.121450   11295 retention.go:173] Could not get offsets for range in document. range: &{{71 43} {71 50}}, error: invalid column number
E0224 01:19:37.121749   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:19:37.121787   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:19:37.121930   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:19:37.121961   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:19:37.122058   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:19:37.122229   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:19:37.122290   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0224 01:19:37.122335   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:19:37.122350   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:19:37.122360   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 40} {39 52}}, error: invalid column number
W0224 01:19:37.122369   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 54} {39 59}}, error: invalid column number
W0224 01:19:37.122378   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:19:37.122390   11295 retention.go:173] Could not get offsets for range in document. range: &{{65 10} {65 16}}, error: invalid column number
W0224 01:19:37.122399   11295 retention.go:173] Could not get offsets for range in document. range: &{{71 43} {71 50}}, error: invalid column number
W0224 01:19:37.122441   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:19:58.272416   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:23:03.273425   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 0} {28 10}}, error: invalid column number
W0224 01:23:03.273476   11295 retention.go:173] Could not get offsets for range in document. range: &{{31 8} {35 52}}, error: invalid column number
W0224 01:23:03.273488   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 40} {39 52}}, error: invalid column number
W0224 01:23:03.273497   11295 retention.go:173] Could not get offsets for range in document. range: &{{39 54} {39 59}}, error: invalid column number
W0224 01:23:03.273588   11295 retention.go:173] Could not get offsets for range in document. range: &{{42 10} {45 59}}, error: invalid column number
W0224 01:23:03.273608   11295 retention.go:173] Could not get offsets for range in document. range: &{{65 10} {65 16}}, error: invalid column number
W0224 01:23:03.273618   11295 retention.go:173] Could not get offsets for range in document. range: &{{71 43} {71 50}}, error: invalid column number
E0224 01:23:03.279183   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:23:03.279242   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:23:03.279258   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279294   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:23:03.279357   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:23:03.279371   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279386   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279418   11295 retention.go:641] Failed to get offsets at range due to: end offset: invalid column number
E0224 01:23:03.279433   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279459   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279474   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279509   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0224 01:23:03.279575   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:23:03.279608   11295 retention.go:173] Could not get offsets for range in document. range: &{{19 0} {23 10}}, error: invalid column number
W0224 01:23:03.279631   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 34} {24 41}}, error: invalid column number
W0224 01:23:03.279641   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 43} {24 48}}, error: invalid column number
W0224 01:23:03.279651   11295 retention.go:173] Could not get offsets for range in document. range: &{{27 10} {30 59}}, error: invalid column number
W0224 01:23:03.279661   11295 retention.go:173] Could not get offsets for range in document. range: &{{40 41} {40 74}}, error: invalid column number
W0224 01:23:03.279670   11295 retention.go:173] Could not get offsets for range in document. range: &{{41 10} {41 16}}, error: invalid column number
W0224 01:23:03.279679   11295 retention.go:173] Could not get offsets for range in document. range: &{{41 26} {41 32}}, error: invalid column number
W0224 01:23:03.279687   11295 retention.go:173] Could not get offsets for range in document. range: &{{46 8} {46 39}}, error: invalid column number
W0224 01:23:03.279696   11295 retention.go:173] Could not get offsets for range in document. range: &{{47 43} {47 50}}, error: invalid column number
W0224 01:23:03.279704   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 47} {51 2}}, error: invalid column number
W0224 01:23:03.279729   11295 retention.go:173] Could not get offsets for range in document. range: &{{53 27} {54 0}}, error: invalid column number
W0224 01:23:03.279738   11295 retention.go:173] Could not get offsets for range in document. range: &{{54 53} {54 71}}, error: invalid column number
W0224 01:23:03.279747   11295 retention.go:173] Could not get offsets for range in document. range: &{{61 43} {61 50}}, error: invalid line number
W0224 01:23:03.279782   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:23:58.271943   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
E0224 01:25:44.815193   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0224 01:25:44.815292   11295 retention.go:173] Could not get offsets for range in document. range: &{{38 44} {38 53}}, error: invalid column number
W0224 01:25:44.815372   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:25:58.272284   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:26:01.960882   11295 retention.go:173] Could not get offsets for range in document. range: &{{19 0} {23 10}}, error: invalid column number
W0224 01:26:01.960928   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 34} {24 41}}, error: invalid column number
W0224 01:26:01.960942   11295 retention.go:173] Could not get offsets for range in document. range: &{{24 43} {24 48}}, error: invalid column number
W0224 01:26:01.960953   11295 retention.go:173] Could not get offsets for range in document. range: &{{27 10} {30 59}}, error: invalid column number
W0224 01:26:01.960964   11295 retention.go:173] Could not get offsets for range in document. range: &{{40 41} {40 74}}, error: invalid column number
W0224 01:26:01.960974   11295 retention.go:173] Could not get offsets for range in document. range: &{{41 10} {41 16}}, error: invalid column number
W0224 01:26:01.960983   11295 retention.go:173] Could not get offsets for range in document. range: &{{41 26} {41 32}}, error: invalid column number
W0224 01:26:01.960994   11295 retention.go:173] Could not get offsets for range in document. range: &{{46 8} {46 39}}, error: invalid column number
W0224 01:26:01.961007   11295 retention.go:173] Could not get offsets for range in document. range: &{{47 43} {47 50}}, error: invalid column number
W0224 01:26:01.961017   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 47} {51 2}}, error: invalid column number
W0224 01:26:01.961026   11295 retention.go:173] Could not get offsets for range in document. range: &{{53 27} {54 0}}, error: invalid column number
W0224 01:26:01.961035   11295 retention.go:173] Could not get offsets for range in document. range: &{{54 53} {54 71}}, error: invalid column number
W0224 01:26:01.961044   11295 retention.go:173] Could not get offsets for range in document. range: &{{61 43} {61 50}}, error: invalid line number
E0224 01:26:01.961206   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:26:01.961233   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
W0224 01:26:01.961263   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:26:58.272286   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:28:10.214725   11295 retention.go:173] Could not get offsets for range in document. range: &{{38 44} {38 53}}, error: invalid column number
W0224 01:28:47.458753   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
E0224 01:28:47.459011   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:28:47.459041   11295 retention.go:173] Could not get offsets for range in document. range: &{{45 43} {45 50}}, error: invalid line number
W0224 01:28:47.459073   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:28:58.272333   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:30:47.609146   11295 retention.go:173] Could not get offsets for range in document. range: &{{45 43} {45 50}}, error: invalid line number
E0224 01:30:47.609351   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:30:47.609378   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
W0224 01:30:47.781950   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
E0224 01:30:47.782210   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:30:47.782268   11295 retention.go:173] Could not get offsets for range in document. range: &{{61 43} {61 50}}, error: invalid line number
W0224 01:30:47.976038   11295 retention.go:173] Could not get offsets for range in document. range: &{{61 43} {61 50}}, error: invalid line number
E0224 01:30:47.980965   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:30:47.981020   11295 retention.go:173] Could not get offsets for range in document. range: &{{85 43} {85 50}}, error: invalid line number
I0224 01:30:58.272516   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
I0224 01:33:58.271549   11295 life_cycle.go:261] codeReportBasicEvery: recomputing codereportbasic metric
I0224 01:38:58.272274   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:39:21.042946   11295 retention.go:173] Could not get offsets for range in document. range: &{{85 43} {85 50}}, error: invalid line number
E0224 01:39:21.043400   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:39:21.043440   11295 retention.go:173] Could not get offsets for range in document. range: &{{86 43} {86 50}}, error: invalid line number
I0224 01:39:58.271606   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:41:09.290230   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
W0224 01:41:36.937101   11295 retention.go:173] Could not get offsets for range in document. range: &{{86 43} {86 50}}, error: invalid line number
E0224 01:41:36.937342   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:41:36.937452   11295 retention.go:173] Could not get offsets for range in document. range: &{{44 43} {44 50}}, error: invalid line number
W0224 01:41:36.937552   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:41:58.271759   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:42:25.962808   11295 retention.go:173] Could not get offsets for range in document. range: &{{44 43} {44 50}}, error: invalid line number
E0224 01:42:25.963085   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:42:25.963126   11295 retention.go:173] Could not get offsets for range in document. range: &{{86 43} {86 50}}, error: invalid line number
W0224 01:42:26.160156   11295 retention.go:173] Could not get offsets for range in document. range: &{{86 43} {86 50}}, error: invalid line number
E0224 01:42:26.160492   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:42:26.160546   11295 retention.go:173] Could not get offsets for range in document. range: &{{85 43} {85 50}}, error: invalid line number
W0224 01:42:26.160593   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:42:58.271596   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:43:53.435487   11295 retention.go:173] Could not get offsets for range in document. range: &{{85 43} {85 50}}, error: invalid line number
E0224 01:43:53.435751   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:43:53.435779   11295 retention.go:173] Could not get offsets for range in document. range: &{{52 43} {52 50}}, error: invalid line number
W0224 01:43:53.435814   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:43:58.271810   11295 life_cycle.go:261] codeReportBasicEvery: recomputing codereportbasic metric
I0224 01:43:58.271847   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:46:28.197232   11295 retention.go:173] Could not get offsets for range in document. range: &{{52 43} {52 50}}, error: invalid line number
E0224 01:46:28.197795   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:46:28.197838   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
W0224 01:46:28.197873   11295 document.go:267] Error computing chars added only: getting byte offset for end of change range: invalid line number
I0224 01:46:58.272098   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:48:54.735115   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
E0224 01:48:54.735465   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:48:54.735499   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
I0224 01:48:58.271565   11295 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0224 01:49:14.370121   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
E0224 01:49:14.370401   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:49:14.370432   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
W0224 01:49:14.590326   11295 retention.go:173] Could not get offsets for range in document. range: &{{50 43} {50 50}}, error: invalid line number
E0224 01:49:14.590781   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:49:14.590819   11295 retention.go:173] Could not get offsets for range in document. range: &{{52 43} {52 50}}, error: invalid line number
W0224 01:49:14.767333   11295 retention.go:173] Could not get offsets for range in document. range: &{{52 43} {52 50}}, error: invalid line number
E0224 01:49:14.767631   11295 retention.go:641] Failed to get offsets at range due to: start offset: invalid line number
W0224 01:49:14.767671   11295 retention.go:173] Could not get offsets for range in document. range: &{{85 43} {85 50}}, error: invalid line number
[Error - 1:49:46 AM] Server process exited with code 0.
I0224 01:49:46.351964   14070 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0224 01:49:46.352692   14070 serve.go:44] Command line: ["/home/leozhontai561/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0224 01:49:46.355528   14070 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0224 01:49:46.540935   14070 configuration.go:182] product updateChannel will be used
W0224 01:49:46.540978   14070 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 01:49:46.540991   14070 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
