I0223 23:33:56.118543    5171 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
W0224 00:00:51.980215    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
W0224 00:00:52.298734    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
E0224 00:00:52.298996    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:52.299024    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 19} {178 19}}, error: invalid line number
W0224 00:00:52.456480    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 19} {178 19}}, error: invalid line number
E0224 00:00:52.456681    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:52.456806    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 0} {178 19}}, error: invalid line number
W0224 00:00:52.595991    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 0} {178 19}}, error: invalid line number
E0224 00:00:52.596328    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:52.596342    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
W0224 00:00:52.735903    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
E0224 00:00:52.735971    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:52.735983    5171 retention.go:173] Could not get offsets for range in document. range: &{{10 0} {18 19}}, error: invalid line number
W0224 00:00:52.897370    5171 retention.go:173] Could not get offsets for range in document. range: &{{10 0} {18 19}}, error: invalid line number
E0224 00:00:52.897442    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:52.897458    5171 retention.go:173] Could not get offsets for range in document. range: &{{12 0} {20 19}}, error: invalid line number
W0224 00:00:53.132657    5171 retention.go:173] Could not get offsets for range in document. range: &{{12 0} {20 19}}, error: invalid line number
E0224 00:00:53.132752    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:53.132766    5171 retention.go:173] Could not get offsets for range in document. range: &{{8 0} {16 19}}, error: invalid line number
W0224 00:00:53.338293    5171 retention.go:173] Could not get offsets for range in document. range: &{{8 0} {16 19}}, error: invalid line number
E0224 00:00:53.338365    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:00:53.338377    5171 retention.go:173] Could not get offsets for range in document. range: &{{7 28} {15 19}}, error: invalid line number
W0224 00:01:41.962844    5171 retention.go:173] Could not get offsets for range in document. range: &{{7 28} {15 19}}, error: invalid line number
E0224 00:01:41.962969    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:01:41.962981    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
W0224 00:01:42.721085    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
E0224 00:01:42.721332    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:01:42.721365    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 0} {178 19}}, error: invalid line number
W0224 00:02:00.902421    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 0} {178 19}}, error: invalid line number
E0224 00:02:00.902663    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:02:00.902682    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
W0224 00:02:02.787669    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
E0224 00:02:02.787976    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:02:02.788016    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 0} {178 19}}, error: invalid line number
W0224 00:02:03.016342    5171 retention.go:173] Could not get offsets for range in document. range: &{{170 0} {178 19}}, error: invalid line number
E0224 00:02:03.016518    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:02:03.016536    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
W0224 00:02:03.491968    5171 retention.go:173] Could not get offsets for range in document. range: &{{0 0} {8 19}}, error: invalid line number
E0224 00:02:03.492082    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:02:03.492098    5171 retention.go:173] Could not get offsets for range in document. range: &{{7 28} {15 19}}, error: invalid line number
W0224 00:02:33.698516    5171 retention.go:173] Could not get offsets for range in document. range: &{{7 28} {15 19}}, error: invalid line number
E0224 00:02:33.699382    5171 retention.go:641] Failed to get offsets at range due to: end offset: invalid line number
W0224 00:02:33.699408    5171 retention.go:173] Could not get offsets for range in document. range: &{{4 0} {12 19}}, error: invalid line number
[Error - 12:34:00 AM] Server process exited with code 0.
I0224 00:34:00.306523    7264 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0224 00:34:00.306579    7264 serve.go:44] Command line: ["/home/leozhontai561/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0224 00:34:00.308301    7264 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0224 00:34:00.422805    7264 configuration.go:182] product updateChannel will be used
W0224 00:34:00.422863    7264 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0224 00:34:00.422878    7264 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0224 00:34:00.422956    7264 configuration.go:642] language thresholds: map[]
I0224 00:34:00.422994    7264 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0224 00:34:00.423024    7264 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0019a8aa1 StopSequences:map[] DataFilePromptLines:0}
I0224 00:34:00.423069    7264 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0019a8ab1 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0224 00:34:00.423260    7264 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0224 00:34:00.423312    7264 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0224 00:34:00.423324    7264 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0224 00:34:00.423434    7264 configuration.go:284] Configured settings for canCancelRequests: true
I0224 00:34:00.423479    7264 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0224 00:34:00.424936    7264 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
